#
#
#  Percent Identity  Matrix - created by Clustal2.1 
#
#

     1: NC_001430.1  100.00   62.28   59.75   62.42   56.83   56.42    -nan   44.14   46.15   52.94    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan
    15: NC_001437.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   50.45    -nan    -nan   58.46  100.00   60.83   45.36   43.77    -nan    -nan    -nan    -nan    -nan    -nan    -nan
    16: NC_012532.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   39.09    -nan    -nan   60.41   60.83  100.00   39.63   41.46    -nan    -nan    -nan    -nan    -nan    -nan    -nan
    17: NC_004162.2    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   40.62   45.36   39.63  100.00   59.93    -nan    -nan   54.69    -nan    -nan    -nan    -nan
    18: NC_001547.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   41.60   43.77   41.46   59.93  100.00    -nan    -nan   44.26    -nan    -nan    -nan    -nan
    19: NC_038291.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   43.43    -nan    -nan    -nan    -nan    -nan    -nan  100.00   98.47    -nan   43.48   45.28   42.00    -nan
    20: NC_001961.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   44.44    -nan    -nan    -nan    -nan    -nan    -nan   98.47  100.00    -nan   39.68   37.68   46.03    -nan
    21: NC_010306.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   54.69   44.26    -nan    -nan  100.00   48.91   61.29   39.47    -nan
    22: NC_004102.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   46.58    -nan    -nan    -nan    -nan    -nan   43.48   39.68   48.91  100.00   50.10   50.61   45.55
    23: NC_039210.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   44.56    -nan    -nan    -nan    -nan    -nan   45.28   37.68   61.29   50.10  100.00   55.06   54.70
    24: NC_008311.1    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   43.96    -nan    -nan    -nan    -nan    -nan   42.00   46.03   39.47   50.61   55.06  100.00   55.88
    25: KP067425.1     -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan    -nan   45.55   54.70   55.88  100.00
