Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
MW752192,,Magnaporthe oryzae botourmiavirus 5,,Botourmiaviridae,ssRNA(+),2568,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 5 isolate 151_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW752193,,Magnaporthe oryzae botourmiavirus 7,,Botourmiaviridae,ssRNA(+),2304,GenBank,,,Pyricularia oryzae,,,"Magnaporthe oryzae botourmiavirus 7 isolate 445_NGS_MO RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MZ068151,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29846,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID51005/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068152,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29846,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID52511/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068153,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29847,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID53359/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068154,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29803,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID53656/2021, complete genome"
MZ068155,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29847,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID53909/2021, complete genome"
MZ068156,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29751,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID55604/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068157,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29819,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID56628/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068158,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29797,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID58228/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MZ068159,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29811,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID58236/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MZ068160,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID58693/2021, complete genome"
MZ068161,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29868,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/COVID58620/2021, complete genome"
MT079856,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),4249,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 strain Chicken/Philippines/Nueva Ecija/L1531/PH1-18 fusion protein (F) and hemagglutinin-neuraminidase protein (HN) genes, complete cds"
MW574434,,Rhizoctonia solani ourmia-like virus 6,,Botourmiaviridae,ssRNA(+),2678,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani ourmia-like virus 6 isolate 14261_NGS_RS RNA-dependent RNA polymerase-like gene, complete sequence"
MW574435,,Rhizoctonia solani beny-like virus 2,,Benyviridae,ssRNA(+),8463,GenBank,,,,,,"Rhizoctonia solani beny-like virus 2 isolate 243_NGS_RS polyprotein-like gene, complete sequence"
MW574436,,Rhizoctonia solani beny-like virus 3,,Benyviridae,ssRNA(+),4467,GenBank,,,,,,"Rhizoctonia solani beny-like virus 3 isolate 8258_NGS_RS polyprotein-like gene, partial sequence"
MW574437,,Rhizoctonia solani endornavirus 8,,Endornaviridae,dsRNA,5114,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 8 isolate 6620_NGS_RS polyprotein-like gene, complete sequence"
MW574438,,Rhizoctonia solani endornavirus 9,,Endornaviridae,dsRNA,5895,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani endornavirus 9 isolate 7161_NGS_RS polyprotein-like gene, complete sequence"
MW574439,,Rhizoctonia solani hypovirus 4,Hypovirus,Hypoviridae,ssRNA(+),18688,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani hypovirus 4 isolate 534_NGS_RS polyprotein-like gene, complete sequence"
MW574440,,Rhizoctonia solani hypovirus 5,Hypovirus,Hypoviridae,ssRNA(+),10766,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani hypovirus 5 isolate 1330_NGS_RS polyprotein-like gene, complete sequence"
MW574441,,Rhizoctonia solani hypovirus 6,Hypovirus,Hypoviridae,ssRNA(+),13492,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani hypovirus 6 isolate 328_NGS_RS polyprotein-like and hypothetical protein-like genes, complete sequence"
MW574442,,Rhizoctonia solani hypovirus 6,Hypovirus,Hypoviridae,ssRNA(+),11755,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani hypovirus 6 isolate 428_NGS_RS polyprotein-like gene, complete sequence"
MW574443,,Rhizoctonia solani hypovirus 6,Hypovirus,Hypoviridae,ssRNA(+),11742,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani hypovirus 6 isolate 832_NGS_RS polyprotein-like gene, complete sequence"
MW574444,,Rhizoctonia solani mitovirus 39,Mitovirus,Mitoviridae,ssRNA(+),2186,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 39 isolate 99_NGS_RS RNA-dependent RNA polymerase-like gene, complete sequence"
MW574445,,Rhizoctonia solani mitovirus 40,Mitovirus,Mitoviridae,ssRNA(+),807,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 40 isolate 37_NGS_RS RNA-dependent RNA polymerase-like gene, partial sequence"
MW574446,,Rhizoctonia solani mitovirus 40,Mitovirus,Mitoviridae,ssRNA(+),788,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani mitovirus 40 isolate 38_NGS_RS RNA-dependent RNA polymerase-like gene, partial sequence"
MW574450,,Rhizoctonia solani totivirus 1,,Totiviridae,dsRNA,9154,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani totivirus 1 isolate 536_NGS_RS hypothetical protein-like and RNA-dependent RNA polymerase-like genes, complete sequence"
MW574451,,Rhizoctonia solani totivirus 1,,Totiviridae,dsRNA,9151,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani totivirus 1 isolate 229_NGS_RS hypothetical protein-like and RNA-dependent RNA polymerase-like genes, complete sequence"
MW560186,,Rhizoctonia solani megabirnavirus 2,Megabirnavirus,Megabirnaviridae,dsRNA,4322,GenBank,,,Rhizoctonia solani,,,"Rhizoctonia solani Megabirnavirus 2 isolate 3716_NGS_RS RNA-dependent RNA polymerase (RdRp) gene, complete cds"
MW735407,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29786,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-00315/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735408,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29781,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-00317/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735409,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29778,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-00401/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735410,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29847,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-00986/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735411,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29315,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02005/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; and ORF7a protein (ORF7a) and nucleocapsid phosphoprotein (N) genes, partial cds"
MW735412,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29632,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02008/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a), ORF7b (ORF7b), and truncated ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MW735413,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29316,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02009/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; and ORF7a protein (ORF7a) and nucleocapsid phosphoprotein (N) genes, partial cds"
MW735414,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29740,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02033/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735415,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29317,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02127/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; and ORF7a protein (ORF7a) and nucleocapsid phosphoprotein (N) genes, partial cds"
MW735416,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29725,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02131/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735417,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29317,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02133/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; truncated ORF8 protein (ORF8) gene, complete cds; and nucleocapsid phosphoprotein (N) gene, partial cds"
MW735418,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29776,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02152/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
